cal_date,is_open,pretrade_date
20150122,1,20150121
20150123,1,20150122
20150124,0,20150123
20150125,0,20150123
20150126,1,20150123
20150127,1,20150126
20150128,1,20150127
20150129,1,20150128
20150130,1,20150129
20150131,0,20150130
20150201,0,20150130
20150202,1,20150130
20150203,1,20150202
20150204,1,20150203
20150205,1,20150204
20150206,1,20150205
20150207,0,20150206
20150208,0,20150206
20150209,1,20150206
20150210,1,20150209
20150211,1,20150210
20150212,1,20150211
20150213,1,20150212
20150214,0,20150213
20150215,0,20150213
20150216,1,20150213
20150217,1,20150216
20150218,0,20150217
20150219,0,20150217
20150220,0,20150217
20150221,0,20150217
20150222,0,20150217
20150223,0,20150217
20150224,0,20150217
20150225,1,20150217
20150226,1,20150225
20150227,1,20150226
20150228,0,20150227
20150301,0,20150227
20150302,1,20150227
20150303,1,20150302
20150304,1,20150303
20150305,1,20150304
20150306,1,20150305
20150307,0,20150306
20150308,0,20150306
20150309,1,20150306
20150310,1,20150309
20150311,1,20150310
20150312,1,20150311
20150313,1,20150312
20150314,0,20150313
20150315,0,20150313
20150316,1,20150313
20150317,1,20150316
20150318,1,20150317
20150319,1,20150318
20150320,1,20150319
20150321,0,20150320
20150322,0,20150320
20150323,1,20150320
20150324,1,20150323
20150325,1,20150324
20150326,1,20150325
20150327,1,20150326
20150328,0,20150327
20150329,0,20150327
20150330,1,20150327
20150331,1,20150330
20150401,1,20150331
20150402,1,20150401
20150403,1,20150402
20150404,0,20150403
20150405,0,20150403
20150406,0,20150403
20150407,1,20150403
20150408,1,20150407
20150409,1,20150408
20150410,1,20150409
20150411,0,20150410
20150412,0,20150410
20150413,1,20150410
20150414,1,20150413
20150415,1,20150414
20150416,1,20150415
20150417,1,20150416
20150418,0,20150417
20150419,0,20150417
20150420,1,20150417
20150421,1,20150420
20150422,1,20150421
20150423,1,20150422
20150424,1,20150423
20150425,0,20150424
20150426,0,20150424
20150427,1,20150424
20150428,1,20150427
20150429,1,20150428
20150430,1,20150429
20150501,0,20150430
20150502,0,20150430
20150503,0,20150430
20150504,1,20150430
20150505,1,20150504
20150506,1,20150505
20150507,1,20150506
20150508,1,20150507
20150509,0,20150508
20150510,0,20150508
20150511,1,20150508
20150512,1,20150511
20150513,1,20150512
20150514,1,20150513
20150515,1,20150514
20150516,0,20150515
20150517,0,20150515
20150518,1,20150515
20150519,1,20150518
20150520,1,20150519
20150521,1,20150520
20150522,1,20150521
20150523,0,20150522
20150524,0,20150522
20150525,1,20150522
20150526,1,20150525
20150527,1,20150526
20150528,1,20150527
20150529,1,20150528
20150530,0,20150529
20150531,0,20150529
20150601,1,20150529
20150602,1,20150601
20150603,1,20150602
20150604,1,20150603
20150605,1,20150604
20150606,0,20150605
20150607,0,20150605
20150608,1,20150605
20150609,1,20150608
20150610,1,20150609
20150611,1,20150610
20150612,1,20150611
20150613,0,20150612
20150614,0,20150612
20150615,1,20150612
20150616,1,20150615
20150617,1,20150616
20150618,1,20150617
20150619,1,20150618
20150620,0,20150619
20150621,0,20150619
20150622,0,20150619
20150623,1,20150619
20150624,1,20150623
20150625,1,20150624
20150626,1,20150625
20150627,0,20150626
20150628,0,20150626
20150629,1,20150626
20150630,1,20150629
20150701,1,20150630
20150702,1,20150701
20150703,1,20150702
20150704,0,20150703
20150705,0,20150703
20150706,1,20150703
20150707,1,20150706
20150708,1,20150707
20150709,1,20150708
20150710,1,20150709
20150711,0,20150710
20150712,0,20150710
20150713,1,20150710
20150714,1,20150713
20150715,1,20150714
20150716,1,20150715
20150717,1,20150716
20150718,0,20150717
20150719,0,20150717
20150720,1,20150717
20150721,1,20150720
20150722,1,20150721
20150723,1,20150722
20150724,1,20150723
20150725,0,20150724
20150726,0,20150724
20150727,1,20150724
20150728,1,20150727
20150729,1,20150728
20150730,1,20150729
20150731,1,20150730
20150801,0,20150731
20150802,0,20150731
20150803,1,20150731
20150804,1,20150803
20150805,1,20150804
20150806,1,20150805
20150807,1,20150806
20150808,0,20150807
20150809,0,20150807
20150810,1,20150807
20150811,1,20150810
20150812,1,20150811
20150813,1,20150812
20150814,1,20150813
20150815,0,20150814
20150816,0,20150814
20150817,1,20150814
20150818,1,20150817
20150819,1,20150818
20150820,1,20150819
20150821,1,20150820
20150822,0,20150821
20150823,0,20150821
20150824,1,20150821
20150825,1,20150824
20150826,1,20150825
20150827,1,20150826
20150828,1,20150827
20150829,0,20150828
20150830,0,20150828
20150831,1,20150828
20150901,1,20150831
20150902,1,20150901
20150903,0,20150902
20150904,0,20150902
20150905,0,20150902
20150906,0,20150902
20150907,1,20150902
20150908,1,20150907
20150909,1,20150908
20150910,1,20150909
20150911,1,20150910
20150912,0,20150911
20150913,0,20150911
20150914,1,20150911
20150915,1,20150914
20150916,1,20150915
20150917,1,20150916
20150918,1,20150917
20150919,0,20150918
20150920,0,20150918
20150921,1,20150918
20150922,1,20150921
20150923,1,20150922
20150924,1,20150923
20150925,1,20150924
20150926,0,20150925
20150927,0,20150925
20150928,1,20150925
20150929,1,20150928
20150930,1,20150929
20151001,0,20150930
20151002,0,20150930
20151003,0,20150930
20151004,0,20150930
20151005,0,20150930
20151006,0,20150930
20151007,0,20150930
20151008,1,20150930
20151009,1,20151008
20151010,0,20151009
20151011,0,20151009
20151012,1,20151009
20151013,1,20151012
20151014,1,20151013
20151015,1,20151014
20151016,1,20151015
20151017,0,20151016
20151018,0,20151016
20151019,1,20151016
20151020,1,20151019
20151021,1,20151020
20151022,1,20151021
20151023,1,20151022
20151024,0,20151023
20151025,0,20151023
20151026,1,20151023
20151027,1,20151026
20151028,1,20151027
20151029,1,20151028
20151030,1,20151029
20151031,0,20151030
20151101,0,20151030
20151102,1,20151030
20151103,1,20151102
20151104,1,20151103
20151105,1,20151104
20151106,1,20151105
20151107,0,20151106
20151108,0,20151106
20151109,1,20151106
20151110,1,20151109
20151111,1,20151110
20151112,1,20151111
20151113,1,20151112
20151114,0,20151113
20151115,0,20151113
20151116,1,20151113
20151117,1,20151116
20151118,1,20151117
20151119,1,20151118
20151120,1,20151119
20151121,0,20151120
20151122,0,20151120
20151123,1,20151120
20151124,1,20151123
20151125,1,20151124
20151126,1,20151125
20151127,1,20151126
20151128,0,20151127
20151129,0,20151127
20151130,1,20151127
20151201,1,20151130
20151202,1,20151201
20151203,1,20151202
20151204,1,20151203
20151205,0,20151204
20151206,0,20151204
20151207,1,20151204
20151208,1,20151207
20151209,1,20151208
20151210,1,20151209
20151211,1,20151210
20151212,0,20151211
20151213,0,20151211
20151214,1,20151211
20151215,1,20151214
20151216,1,20151215
20151217,1,20151216
20151218,1,20151217
20151219,0,20151218
20151220,0,20151218
20151221,1,20151218
20151222,1,20151221
20151223,1,20151222
20151224,1,20151223
20151225,1,20151224
20151226,0,20151225
20151227,0,20151225
20151228,1,20151225
20151229,1,20151228
20151230,1,20151229
20151231,1,20151230
20160101,0,20151231
20160102,0,20151231
20160103,0,20151231
20160104,1,20151231
20160105,1,20160104
20160106,1,20160105
20160107,1,20160106
20160108,1,20160107
20160109,0,20160108
20160110,0,20160108
20160111,1,20160108
20160112,1,20160111
20160113,1,20160112
20160114,1,20160113
20160115,1,20160114
20160116,0,20160115
20160117,0,20160115
20160118,1,20160115
20160119,1,20160118
20160120,1,20160119
20160121,1,20160120
20160122,1,20160121
20160123,0,20160122
20160124,0,20160122
20160125,1,20160122
20160126,1,20160125
20160127,1,20160126
20160128,1,20160127
20160129,1,20160128
20160130,0,20160129
20160131,0,20160129
20160201,1,20160129
20160202,1,20160201
20160203,1,20160202
20160204,1,20160203
20160205,1,20160204
20160206,0,20160205
20160207,0,20160205
20160208,0,20160205
20160209,0,20160205
20160210,0,20160205
20160211,0,20160205
20160212,0,20160205
20160213,0,20160205
20160214,0,20160205
20160215,1,20160205
20160216,1,20160215
20160217,1,20160216
20160218,1,20160217
20160219,1,20160218
20160220,0,20160219
20160221,0,20160219
20160222,1,20160219
20160223,1,20160222
20160224,1,20160223
20160225,1,20160224
20160226,1,20160225
20160227,0,20160226
20160228,0,20160226
20160229,1,20160226
20160301,1,20160229
20160302,1,20160301
20160303,1,20160302
20160304,1,20160303
20160305,0,20160304
20160306,0,20160304
20160307,1,20160304
20160308,1,20160307
20160309,1,20160308
20160310,1,20160309
20160311,1,20160310
20160312,0,20160311
20160313,0,20160311
20160314,1,20160311
20160315,1,20160314
20160316,1,20160315
20160317,1,20160316
20160318,1,20160317
20160319,0,20160318
20160320,0,20160318
20160321,1,20160318
20160322,1,20160321
20160323,1,20160322
20160324,1,20160323
20160325,1,20160324
20160326,0,20160325
20160327,0,20160325
20160328,1,20160325
20160329,1,20160328
20160330,1,20160329
20160331,1,20160330
20160401,1,20160331
20160402,0,20160401
20160403,0,20160401
20160404,0,20160401
20160405,1,20160401
20160406,1,20160405
20160407,1,20160406
20160408,1,20160407
20160409,0,20160408
20160410,0,20160408
20160411,1,20160408
20160412,1,20160411
20160413,1,20160412
20160414,1,20160413
20160415,1,20160414
20160416,0,20160415
20160417,0,20160415
20160418,1,20160415
20160419,1,20160418
20160420,1,20160419
20160421,1,20160420
20160422,1,20160421
20160423,0,20160422
20160424,0,20160422
20160425,1,20160422
20160426,1,20160425
20160427,1,20160426
20160428,1,20160427
20160429,1,20160428
20160430,0,20160429
20160501,0,20160429
20160502,0,20160429
20160503,1,20160429
20160504,1,20160503
20160505,1,20160504
20160506,1,20160505
20160507,0,20160506
20160508,0,20160506
20160509,1,20160506
20160510,1,20160509
20160511,1,20160510
20160512,1,20160511
20160513,1,20160512
20160514,0,20160513
20160515,0,20160513
20160516,1,20160513
20160517,1,20160516
20160518,1,20160517
20160519,1,20160518
20160520,1,20160519
20160521,0,20160520
20160522,0,20160520
20160523,1,20160520
20160524,1,20160523
20160525,1,20160524
20160526,1,20160525
20160527,1,20160526
20160528,0,20160527
20160529,0,20160527
20160530,1,20160527
20160531,1,20160530
20160601,1,20160531
20160602,1,20160601
20160603,1,20160602
20160604,0,20160603
20160605,0,20160603
20160606,1,20160603
20160607,1,20160606
20160608,1,20160607
20160609,0,20160608
20160610,0,20160608
20160611,0,20160608
20160612,0,20160608
20160613,1,20160608
20160614,1,20160613
20160615,1,20160614
20160616,1,20160615
20160617,1,20160616
20160618,0,20160617
20160619,0,20160617
20160620,1,20160617
20160621,1,20160620
20160622,1,20160621
20160623,1,20160622
20160624,1,20160623
20160625,0,20160624
20160626,0,20160624
20160627,1,20160624
20160628,1,20160627
20160629,1,20160628
