code,symbol,name,industry
603027,,千禾味业,食品
002683,,宏大爆破,化工原料
002750,,龙津药业,中成药
002773,,康弘药业,化学制药
002067,,景兴纸业,造纸
002207,,ST准油,石油开采
600328,,兰太实业,化工原料
600661,,昂立教育,文教休闲
603108,,润达医疗,医药商业
600225,,天津松江,区域地产
603368,,柳药股份,医药商业
300441,,鲍斯股份,机床制造
601901,,方正证券,证券
002624,,完美世界,影视音像
002326,,永太科技,化工原料
000638,,万方发展,软件服务
600332,,白云山,中成药
300753,,爱朋医疗,医疗保健
000998,,隆平高科,种植业
601066,,中信建投,证券
300207,,欣旺达,元器件
603500,,祥和实业,运输设备
300232,,洲明科技,半导体
000912,,泸天化,农药化肥
000903,,云内动力,机械基件
601949,,中国出版,出版业
002099,,海翔药业,化学制药
300594,,朗进科技,运输设备
002366,,台海核电,专用机械
002035,,华帝股份,家用电器
603501,,韦尔股份,半导体
002076,,雪 莱 特,家用电器
000552,,靖远煤电,煤炭开采
002441,,众业达,批发业
002851,,麦格米特,电气设备
603861,,白云电器,电气设备
603859,,能科股份,软件服务
300456,,耐威科技,元器件
000911,,*ST 南糖,食品
600415,,小商品城,商品城
600479,,千金药业,中成药
000779,,甘咨询,建筑工程
000933,,神火股份,煤炭开采
002451,,摩恩电气,电气设备
600359,,新农开发,农业综合
002956,,西麦食品,食品
603031,,安德利,百货
600825,,新华传媒,出版业
001872,,招商港口,港口
600673,,东阳光,铝
300147,,香雪制药,中成药
002363,,隆基机械,汽车配件
000729,,燕京啤酒,啤酒
000559,,万向钱潮,汽车配件
603866,,桃李面包,食品
002167,,东方锆业,小金属
300268,,佳沃股份,农业综合
002568,,百润股份,红黄酒
300059,,东方财富,证券
600139,,西部资源,综合类
300301,,长方集团,半导体
002277,,友阿股份,百货
603321,,梅轮电梯,运输设备
600988,,赤峰黄金,黄金
300017,,网宿科技,电信运营
603681,,永冠新材,化工原料
300201,,海伦哲,专用机械
603856,,东宏股份,塑料
601311,,骆驼股份,电气设备
603959,,百利科技,建筑工程
000887,,中鼎股份,橡胶
002500,,山西证券,证券
000836,,富通鑫茂,通信设备
000568,,泸州老窖,白酒
